Medicine Name,Uses,Side_effects
Tricaine Alma Gel Mango Sugar Free, Heartburn,Limited data available
Tretwin Cream,Treatment of Acne Acute promyelocytic leukaemia,Erythema skin redness Skin irritation Dry skin Dry lips Pale red skin Increased sensitivity to light
Transfer 4000 Injection,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,High blood pressure Nausea Vomiting Fever Rash Joint pain Headache Insomnia difficulty in sleeping Chills Cough Bone pain Muscle spasm Dizziness Vascular occlusion Injection site irritation Stomatitis Inflammation of the mouth Weight loss Decreased white blood cell count lymphocytes Increased glucose level in blood Blood clot in the blood vessels
Telzox 40 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Texid-MF Tablet,Treatment of Heavy menstrual bleedingTreatment of Menstrual pain,Nausea Vomiting Heartburn Indigestion Diarrhea Loss of appetite Nasal congestion stuffy nose Headache Tiredness Musculoskeletal bone muscle or joint pain Anemia low number of red blood cells Stomach pain Sinus pain Sinus inflammation
Tresmox CV 500mg/125mg Tablet,Treatment of Bacterial infections,Vomiting Nausea Diarrhea Mucocutaneous candidiasis
Trivogo 2 Tablet SR,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
Ticarnic  3.1 Injection, Bacterial infections,Nausea Vomiting Diarrhea Rash Allergic reaction
Terbitotal 500 Tablet, Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Twinblok Trio Tablet ER, Hypertension (high blood pressure),Nausea Diarrhea Vomiting Constipation Headache Dizziness Flushing sense of warmth in the face ears neck and trunk Weakness Slow heart rate Decreased blood pressure Cold extremities Numbness of extremity Decreased potassium level in blood Increased blood lipid level Decreased sodium level in blood Decreased magnesium level in blood Increased uric acid level in blood
Tumsup Drop,Treatment of Abdominal pain,No common side effects seen
Triexer 2 Tablet ER,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Dizziness Headache Nausea Vomiting Diarrhea Flatulence Bronchitis inflammation of the airways Anemia low number of red blood cells Edema swelling
Tolaz DT 10 Tablet,Treatment of SchizophreniaTreatment of Mania,Dizziness Sleepiness Orthostatic hypotension sudden lowering of blood pressure on standing Dryness in mouth Weight gain Increased prolactin level in blood Constipation Muscle stiffness Restlessness Tremors
T-Film 20mg Disintegrating Strip,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH),Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Muscle pain Upset stomach Back pain Nausea Respiratory tract infection
Texifen 250mg Tablet, Fungal infections,Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Temsan-CT 40 Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Tugain 5% Gel,Treatment of Hair loss,Itching Chest pain Headache Hypertrichosis excessive hair growth Rash Dermatitis Hypersensitivity Weight gain Fluid retention Tachycardia
Tachyra 100 Tablet,Treatment of Arrhythmia,Lung damage Tachycardia Congestive cardiac failure Increased liver enzymes
Talecalm Plus Tablet, Schizophrenia,Nausea Constipation Dryness in mouth Sedation Weight gain Orthostatic hypotension sudden lowering of blood pressure on standing Urinary retention Increased prolactin level in blood Dizziness Blurred vision Nervousness
Trajenta Duo 2.5mg/850mg Tablet,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Diarrhea Vomiting Flatulence Weight gain
Tecum 0.03% Ointment,Treatment of Atopic dermatitis,Application site reactions burning irritation itching and redness Headache Hair follicle inflammation
Trexjoy Gel,Treatment of Psoriasis,No common side effects seen
Tamgress 0.4 Tablet MR,Treatment of Benign prostatic hyperplasia,Dizziness Ejaculation disorder Headache Nausea Infection Orthostatic hypotension sudden lowering of blood pressure on standing Abdominal pain
Telekast 4 Chewable Tablet,Treatment of Sneezing and runny nose due to allergies,Headache Diarrhea Abdominal pain Fever Upper respiratory tract infection
Tacrotor 0.03% Ointment,Treatment of Atopic dermatitis,Application site reactions burning irritation itching and redness Headache Hair follicle inflammation
Tonact 5 Tablet, High cholesterolPrevention of Heart attack,Dyspepsia Abdominal pain Indigestion Diarrhea Joint pain Nasopharyngitis inflammation of the throat and nasal passages Nausea Pain in extremities Urinary tract infection Abnormal liver function tests
Trimegavog 1 Tablet SR,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
Tacrograf 1 Capsule, Prevention of organ rejection in transplant patients,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Tolaz LA 405mg/vial Convenience Kit, SchizophreniaTreatment of Mania,Dizziness Sleepiness Orthostatic hypotension sudden lowering of blood pressure on standing Dryness in mouth Weight gain Increased prolactin level in blood Constipation Restlessness Tremors Muscle stiffness
Torq SR 2 Capsule,Treatment of Overactive bladder (OAB) symptoms,Dryness in mouth Constipation Headache Dizziness Sleepiness Blurred vision Diarrhea
Tiate 18mcg Transcaps,Treatment of Chronic obstructive pulmonary disease (COPD),Dryness in mouth
Tryptomer G 300mg/10mg Tablet, Neuropathic pain,Constipation Difficulty in urination Weight gain Sleepiness Dizziness Tiredness Uncoordinated body movements Increased heart rate Orthostatic hypotension sudden lowering of blood pressure on standing Blurred vision Dryness in mouth
Telmiride LN 10mg/40mg Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Telmikind CT 80mg/12.5mg Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Tsart-M 40/50 Tablet ER,Treatment of Hypertension (high blood pressure),Headache Weakness Dizziness Cold extremities Slow heart rate Increased potassium level in blood Numbness of extremity Decreased blood pressure
Tresivac Vaccine, Prevention of Measles Prevention of Rubella Prevention of Mumps,Rash Injection site soreness Fever
Tolpazen Tablet, Pain relief,Nausea Vomiting Heartburn Stomach pain Indigestion Loss of appetite Diarrhea
Telmed CT Tablet, Hypertension (high blood pressure),Dizziness Back pain Sinus infection Diarrhea Skin ulcer
Tetanus Vaccine Adsorbed 0.5ml,Prevention of Tetanus,Injection site reactions pain swelling redness Loss of appetite Fever
Tovaxo-T Eye Drop,Treatment of GlaucomaTreatment of Ocular hypertension,Stinging sensation Eye irritation Burning sensation Blurred vision
Topnac 100mg Tablet, Pain relief,Vomiting Stomach pain epigastric pain Nausea Indigestion Diarrhea Heartburn Loss of appetite
Torget 5 Tablet,Treatment of Hypertension (high blood pressure)Treatment of Edema,Headache Dizziness Dehydration Constipation Decreased blood pressure Upset stomach
Tiban M 20/500mg Tablet ER,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Nausea Vomiting Diarrhea Headache Bloating Flatulence
Trivoglitor 1 Tablet SR,Treatment of Type 2 diabetes mellitus,Nausea Diarrhea Abdominal pain Hypoglycemia low blood glucose level
Tobacin 80mg Injection,Treatment of Bacterial eye infections,Upset stomach Eye irritation Burning sensation Eye redness Eye itching
Tigatel 20 Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Tricinod 10/6.25 Tablet, Hypertension (high blood pressure),Ankle swelling Headache Dizziness Tiredness Palpitations Sleepiness Increased blood uric acid Glucose intolerance Taste change Flushing sense of warmth in the face ears neck and trunk Upset stomach Altered blood lipid level
Tadasure 10 Orally Disintegrating Strip,Treatment of Erectile dysfunctionTreatment of Pulmonary arterial hypertension (PAH),Flushing sense of warmth in the face ears neck and trunk Headache Blurred vision Muscle pain Upset stomach Back pain Nausea Respiratory tract infection
Tendrone 1% Cream,Treatment of Eczema Severe allergic reactionsTreatment of Allergic conditionsTreatment of CancerTreatment of Skin disordersTreatment of Eye disorders,Application site reactions burning irritation itching and redness
Trulimax 500mg Tablet,Treatment of Bacterial infections,Nausea Abdominal pain Diarrhea
Triolmighty 20 Tablet, Hypertension (high blood pressure),Headache Dizziness Nausea Upper respiratory tract infection Fatigue Urinary tract infection Diarrhea Joint swelling Peripheral edema Nasopharyngitis inflammation of the throat and nasal passages Muscle spasm
Tacrocord 1mg Capsule, Prevention of organ rejection in transplant patients,Increased glucose level in blood Kidney damage Insomnia difficulty in sleeping Tremors High blood pressure Infection
Tamgress-D Capsule PR,Treatment of Benign prostatic hyperplasia,Impotence Decreased libido Ejaculation disorder Orthostatic hypotension sudden lowering of blood pressure on standing Breast enlargement in male Breast tenderness in male
Thioact D 4 Capsule, Pain due to muscle spasm,Nausea Vomiting Diarrhea Heartburn Stomach pain epigastric pain Loss of appetite
Torcilin 10 Tablet,Treatment of Hypertension (high blood pressure)Prevention of Angina (heart-related chest pain)Prevention of Heart attackPrevention of Stroke,Fatigue Sleepiness Flushing sense of warmth in the face ears neck and trunk Headache Nausea Dizziness Palpitations Edema swelling Abdominal pain Rash Muscle pain Eye pain Tremors Decreased blood pressure Itching
Tyza Cream, Fungal skin infections,Application site reactions burning irritation itching and redness Skin peeling Headache Diarrhea Rash Indigestion Abnormal liver enzyme Itching Taste change Nausea Abdominal pain Flatulence
Tiomate Transcaps, Chronic obstructive pulmonary disease (COPD),Nausea Diarrhea Dryness in mouth Vomiting Dizziness Nasopharyngitis inflammation of the throat and nasal passages Insomnia difficulty in sleeping
Troxip-OD Tablet PR, Stomach ulcers,Headache Constipation
Telekast-Plus Tablet,Treatment of Asthma,Diarrhea Upper respiratory tract infection Fever Headache Pharyngitis Cough Abdominal pain Otitis media infection of ear Influenza Runny nose Sinus inflammation Tremors Nervousness
Tenoclor 50 Tablet, Hypertension (high blood pressure),Nausea Dizziness Slow heart rate
Thioril 10 Tablet, Schizophrenia,Orthostatic hypotension sudden lowering of blood pressure on standing Sleepiness Dryness in mouth Abnormality of voluntary movements Weight gain Increased prolactin level in blood Urinary retention Constipation Muscle stiffness Tremors
Turbovas Gold 10 Capsule, Heart attack,Increased bleeding tendency Abdominal pain Indigestion Bruise Nosebleeds Gastrointestinal bleeding Weakness Headache Muscle pain Diarrhea Nausea
Torleva XR 500 Tablet,Treatment of Epilepsy/Seizures,Sleepiness Dizziness Fatigue Headache Decreased appetite Behavioral changes Aggressive behavior Irritation Agitation Nasal congestion stuffy nose Infection Convulsion Nasopharyngitis inflammation of the throat and nasal passages Nausea Tremors Vertigo Lethargy
Trimium Transhaler, Chronic obstructive pulmonary disease (COPD),Dryness in mouth Cough Headache Dry throat Increased heart rate Blurred vision Glaucoma Difficulty in urination Urinary retention Constipation Nasopharyngitis inflammation of the throat and nasal passages Upper respiratory tract infection Sinus inflammation Stomach discomfort Fungal infection of oropharynx Tremors Palpitations Voice change Dizziness Insomnia difficulty in sleeping Paresthesia tingling or pricking sensation Taste change
Telmiduce 20mg Tablet,Treatment of Hypertension (high blood pressure) Prevention of heart attack and strokeTreatment of Heart failure,Upper respiratory tract infection Sinus infection Back pain Diarrhea
Temsan-AM 5 Tablet,Treatment of Hypertension (high blood pressure),Sleepiness Ankle swelling Headache Flushing sense of warmth in the face ears neck and trunk Dizziness Tiredness Palpitations Upset stomach Increased potassium level in blood
Topinate Ointment,Treatment of Allergic skin conditions,Skin atrophy Telangiectasia Skin irritation Dry skin
Telplus Trio 40mg/10mg/6.25mg Tablet, Hypertension (high blood pressure),Ankle swelling Headache Dizziness Tiredness Palpitations Sleepiness Increased blood uric acid Glucose intolerance Taste change Flushing sense of warmth in the face ears neck and trunk Upset stomach Altered blood lipid level
Triopil 1 Tablet SR,Treatment of Type 2 diabetes mellitus,Hypoglycemia low blood glucose level Dizziness Headache Nausea Vomiting Diarrhea Flatulence Bronchitis inflammation of the airways Anemia low number of red blood cells Edema swelling
